A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
91,56,39,29,20,38,63,73,29,84,29,69,96,53,98,62,8,60,73,78,12,15,87,73,26,7
42,93,34,24,95,29,32,49,29,36,19,62,67,69,74,79,36,36,1,43,70,46,85,77,87,60
4,91,12,38,21,85,96,77,25,47,33,68,81,52,74,22,31,90,68,15,25,72,98,61,52,58
88,76,52,33,67,20,2,93,58,22,88,28,2,60,21,60,26,44,35,51,95,83,59,85,8,93
74,20,69,39,76,38,27,85,13,7,78,61,44,65,44,60,57,14,14,46,63,3,16,96,24,73
88,97,17,22,48,56,57,29,39,19,80,85,15,28,83,23,12,100,1,44,88,39,96,70,87,96
78,15,9,70,21,51,44,81,69,4,3,76,90,3,55,71,64,28,75,14,80,12,88,71,90,4
57,16,54,88,84,39,19,90,79,60,50,12,66,24,26,87,46,96,96,97,24,35,49,4,33,93
89,68,40,32,56,88,66,40,56,94,47,61,47,56,83,83,82,66,42,59,22,35,12,9,79,57
49,85,80,46,50,15,91,57,63,65,39,54,48,71,94,30,43,98,65,11,71,77,91,2,78,77
20,8,24,26,28,43,15,39,99,50,26,100,34,94,75,9,83,61,42,92,27,38,93,8,81,28
100,81,57,27,37,71,94,24,44,85,20,54,55,76,20,66,71,85,14,24,43,61,84,98,72,72
51,65,16,31,83,56,3,20,97,11,88,6,69,98,83,48,19,65,62,31,40,20,27,88,88,94
58,40,42,45,16,83,51,98,88,82,89,21,18,99,79,60,17,80,15,30,95,19,77,78,93,50
6,92,86,94,82,27,52,17,46,92,20,4,61,76,89,26,86,22,33,33,84,75,95,48,24,11
44,13,19,2,52,60,4,56,35,47,15,52,24,11,24,92,88,17,9,78,88,1,97,47,15,92
64,56,39,72,57,90,34,32,44,60,37,36,38,18,51,34,66,64,89,70,56,25,80,99,87,82
49,54,55,1,1,83,44,26,20,1,1,32,84,94,10,50,94,81,6,97,55,89,93,10,15,56
98,76,11,42,18,6,21,3,97,78,14,50,78,43,43,28,2,56,4,31,97,91,45,50,92,36
87,34,80,97,24,5,62,88,28,75,8,76,8,82,53,3,55,8,44,97,22,94,68,75,48,8
9,11,91,86,52,16,81,15,18,88,58,36,15,24,75,94,83,80,48,39,37,25,35,73,42,90
53,43,66,19,84,18,52,89,35,9,23,32,68,26,40,82,42,14,60,67,14,86,89,38,66,60
14,31,64,47,6,42,29,36,17,76,4,55,53,18,62,97,83,60,38,78,70,50,8,64,1,87
57,11,15,86,7,81,3,8,19,22,61,57,58,64,1,39,9,45,49,30,97,19,48,29,41,52
16,20,73,30,53,3,100,35,54,17,29,84,13,38,93,29,36,21,54,33,10,7,80,90,65,29
40,59,94,21,16,5,18,53,58,34,79,58,43,43,24,86,7,38,97,32,59,3,41,54,35,67
27,24,77,4,47,98,94,84,2,44,74,96,50,46,57,20,61,44,66,35,60,12,19,21,44,8
31,11,99,10,7,9,87,18,3,41,69,36,43,69,55,27,27,52,65,27,56,39,26,38,45,18
63,73,72,19,30,29,41,31,35,58,56,10,7,92,96,4,88,46,70,63,98,70,41,94,86,83
46,6,68,14,19,93,60,33,73,99,96,17,37,57,44,83,52,13,28,29,5,45,9,60,9,37
63,22,44,46,21,84,83,91,70,24,91,24,82,21,74,84,34,67,74,71,94,55,8,51,26,35
65,54,14,57,51,82,3,14,26,56,73,77,38,51,97,68,85,24,91,9,53,84,2,1,48,26
76,63,25,56,33,57,58,96,13,43,12,17,81,80,42,1,24,38,83,26,28,88,22,28,86,77
12,22,26,84,8,36,71,14,27,95,84,51,82,36,20,4,21,13,83,61,65,92,75,57,47,20
89,98,46,72,36,47,39,39,75,84,87,6,89,47,57,31,29,10,42,6,45,77,18,14,85,87
63,26,77,47,10,21,46,48,72,65,19,94,16,59,99,92,100,68,20,35,77,12,3,7,52,40
51,46,10,16,53,21,99,93,56,4,89,24,39,72,25,70,59,24,68,4,26,13,66,18,95,99
54,57,84,76,69,79,66,3,15,52,16,38,94,83,88,20,34,27,48,25,80,56,90,34,58,67
5,87,35,61,3,59,24,78,80,81,20,13,45,89,92,27,39,5,27,84,33,86,18,57,41,32
27,12,87,24,34,24,48,31,33,7,96,70,8,13,74,11,46,98,2,54,91,14,17,70,37,52
1,43,58,80,73,80,93,49,58,6,49,35,68,20,59,82,96,22,31,57,4,99,30,67,64,81
8,56,22,38,36,41,19,81,76,76,18,71,35,1,90,73,19,75,83,60,66,92,96,97,2,48
44,59,79,21,39,38,49,86,92,29,63,61,9,92,33,32,24,36,44,68,95,70,87,94,69,100
45,71,72,68,87,76,5,37,81,62,73,36,20,2,65,25,96,93,49,87,85,85,24,45,40,35
54,27,78,97,62,6,46,19,84,52,97,53,75,8,74,18,59,67,29,56,18,23,87,81,56,80
29,5,82,94,40,36,17,17,86,68,4,15,19,95,5,10,11,44,37,73,60,82,19,17,48,99
13,38,76,18,77,46,97,92,54,61,41,28,63,55,59,50,51,90,99,12,75,74,64,98,96,49
63,68,100,54,58,7,20,84,47,97,11,66,13,99,80,59,60,25,52,93,19,96,23,12,38,66
35,56,64,69,90,95,75,59,12,89,38,92,47,3,56,75,45,22,31,83,37,11,52,13,14,56
99,66,73,50,79,64,79,27,70,28,5,28,16,81,14,73,18,29,64,25,56,6,42,44,14,3
42,18,80,8,69,37,40,19,81,63,55,75,15,77,3,23,51,82,77,80,36,25,17,26,45,70
51,39,11,33,75,27,74,69,4,16,68,86,66,11,95,13,39,10,88,55,33,76,94,55,67,69
58,91,69,94,63,75,7,27,66,99,58,94,5,30,18,3,26,19,78,26,59,51,11,19,54,12
44,75,62,89,82,63,96,40,3,68,45,90,20,65,65,8,82,88,23,46,4,77,19,56,100,46
76,21,17,82,56,68,25,25,49,58,36,38,17,30,47,46,82,24,71,22,18,7,58,96,42,75
89,47,33,77,59,73,30,39,39,9,13,6,81,30,34,87,57,60,18,9,76,69,67,83,30,45
16,45,54,31,75,27,77,49,70,82,27,44,16,87,84,29,5,75,27,12,85,39,88,7,99,53
90,94,74,4,61,61,79,24,88,52,25,82,41,26,90,34,74,28,92,44,41,77,62,17,99,94
31,10,23,14,99,27,91,39,7,69,20,64,43,7,98,73,66,16,22,97,72,58,19,100,19,8
38,84,49,75,97,1,23,22,37,27,73,55,20,9,34,25,2,46,29,57,87,34,85,43,50,63
38,69,67,88,96,16,2,92,79,56,40,59,55,78,42,60,76,76,97,2,63,69,68,71,99,29
9,5,33,21,44,24,99,73,90,1,93,71,51,8,31,58,30,90,13,67,57,27,65,12,41,64
53,66,64,9,63,16,94,56,39,39,75,96,42,43,91,45,51,94,87,14,31,15,36,33,27,80
38,51,82,85,97,9,1,68,58,34,29,86,80,23,26,6,40,1,71,66,29,81,68,35,60,97
2,70,37,12,36,17,7,92,13,59,48,11,47,13,70,67,57,72,52,61,12,29,84,46,16,9
95,49,10,47,69,93,29,31,8,44,90,24,32,82,73,79,1,72,69,84,37,99,86,7,44,50
82,66,10,46,55,21,35,59,21,48,64,79,59,13,54,71,52,40,31,58,51,59,63,66,94,86
9,14,98,60,29,67,17,2,93,55,56,84,78,37,6,49,82,67,60,70,23,56,30,53,93,76
1,75,85,32,40,54,98,29,95,61,16,26,66,54,54,30,86,14,91,6,77,33,70,80,14,80
70,87,37,31,24,16,57,26,90,75,4,57,21,19,55,71,35,96,29,21,56,2,7,96,13,94
100,89,45,98,83,20,59,46,64,64,93,53,91,25,18,22,62,6,87,35,2,34,81,38,13,84
90,98,84,20,33,38,98,86,38,7,54,53,41,25,90,64,97,55,69,88,61,95,61,66,51,22
65,98,76,91,9,75,80,71,60,61,94,91,22,39,92,90,51,88,75,41,27,91,41,86,19,20
80,45,41,12,78,54,33,35,89,32,45,86,11,27,86,33,37,64,16,36,13,75,12,62,53,14
27,59,28,70,75,48,53,82,84,27,73,91,73,91,30,17,86,91,17,3,53,91,57,10,100,3
71,71,23,78,71,78,29,48,70,45,93,52,20,19,21,91,75,49,99,30,74,18,69,25,83,37
24,96,17,25,81,58,85,15,80,88,51,10,26,96,45,5,26,89,81,25,64,49,77,12,64,83
12,30,19,19,1,4,93,80,2,7,44,73,56,61,62,18,24,8,34,77,23,83,45,9,17,9
60,17,42,78,88,15,33,73,43,67,58,10,65,51,19,88,4,94,70,94,56,19,80,70,94,95
61,49,60,83,4,79,56,6,89,77,85,13,69,79,77,42,45,57,70,15,52,12,6,49,5,51
76,11,5,59,26,17,10,5,27,3,39,9,12,19,8,28,67,96,23,4,57,43,33,15,20,66
30,92,92,78,71,84,88,44,7,26,53,12,93,20,60,73,98,83,47,20,92,1,64,4,80,52
66,64,5,56,68,2,82,65,40,56,91,64,50,84,24,79,8,75,81,86,31,59,16,58,41,94
45,92,99,65,9,72,73,9,97,22,84,65,86,91,34,58,72,48,87,1,8,57,1,64,21,32
88,39,99,14,99,52,83,63,61,6,66,22,46,79,38,72,16,1,47,32,56,85,76,18,31,58
96,74,92,53,97,88,51,25,48,44,32,18,46,49,12,87,17,88,32,99,66,33,48,10,91,76
47,97,53,12,40,58,45,84,100,65,77,62,60,65,23,4,77,63,45,3,4,14,22,42,27,94
36,60,81,12,97,95,82,1,76,64,80,14,41,90,99,53,57,28,48,59,57,56,68,39,96,49
35,32,87,61,5,40,6,21,64,90,57,25,93,97,7,84,28,13,88,56,46,29,25,50,95,32
66,10,25,22,82,40,69,82,95,35,8,96,73,39,89,89,91,51,17,58,46,2,77,38,77,15
80,22,81,44,99,26,44,25,16,26,49,50,45,45,62,56,40,38,17,32,74,58,100,74,55,79
80,42,81,53,56,15,37,36,9,27,76,74,66,47,19,18,56,18,42,53,1,74,86,47,61,35
51,24,15,18,24,97,99,72,47,43,17,36,58,87,74,36,56,21,95,45,89,43,79,69,31,8
22,87,1,8,22,2,1,12,87,50,5,23,10,80,58,83,38,92,87,14,77,19,94,75,88,2
43,19,6,94,87,45,20,14,54,69,28,27,6,32,9,92,45,50,65,20,46,4,63,85,14,68
40,97,28,87,44,17,54,58,17,49,3,34,19,42,36,83,24,5,51,70,14,5,17,42,86,80
86,36,70,20,34,30,19,6,51,72,72,45,43,16,61,7,25,60,32,30,26,68,65,6,58,52
8,34,78,25,43,28,8,81,38,94,24,30,51,23,72,40,40,31,49,14,93,80,88,44,98,96
84,18,66,7,78,82,3,72,46,47,98,24,23,65,74,80,6,52,10,99,33,14,69,77,9,48
64,100,86,88,36,55,59,8,46,44,24,69,18,13,7,93,42,30,69,33,18,29,9,82,86,1
